                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.47667,                0.49598,                0.98656,                0.61111,                0.55393,                 1.0204,                0.95822,                0.91535,                0.97254,                0.88748,                0.36822,                0.30721,                0.86869,                0.44902,                0.28762,                0.89993,               0.007723,               0.007723,               0.007723
                     26,                0.46478,                0.48392,                0.97679,                0.60183,                0.53699,                 1.0092,                0.94913,                0.94491,                0.97651,                0.88741,                0.37052,                0.29516,                0.87415,                0.46188,                 0.2776,                0.90882,               0.007624,               0.007624,               0.007624
                     27,                0.45781,                0.46802,                0.96883,                0.59394,                0.51974,                  1.001,                0.94273,                0.93293,                0.97091,                0.88352,                 0.3695,                0.28335,                0.87379,                 0.4544,                0.27916,                0.90471,               0.007525,               0.007525,               0.007525
                     28,                0.44848,                0.46402,                0.97215,                0.57596,                0.51748,                 1.0043,                0.94759,                 0.9385,                0.97093,                0.88613,                0.37517,                0.28921,                0.88056,                0.44628,                0.27921,                0.90873,               0.007426,               0.007426,               0.007426
                     29,                0.44954,                0.45964,                0.97291,                0.57566,                0.50498,                  1.002,                0.95311,                 0.9423,                0.97603,                0.89334,                0.36375,                0.28204,                 0.8689,                0.44071,                0.25245,                0.89636,               0.007327,               0.007327,               0.007327
                     30,                0.44856,                0.45274,                 0.9681,                0.58002,                0.49999,                 1.0005,                0.93864,                0.94753,                0.97601,                0.89242,                0.35737,                0.27499,                0.86839,                0.42486,                0.26582,                0.89867,               0.007228,               0.007228,               0.007228
                     31,                 0.4357,                 0.4338,                0.96282,                0.56452,                0.47959,                0.99187,                0.94173,                0.94536,                0.97506,                0.89692,                0.35414,                0.27306,                0.86357,                0.42379,                 0.2533,                0.89061,               0.007129,               0.007129,               0.007129
                     32,                0.43696,                0.43719,                0.96215,                 0.5601,                0.48364,                0.99261,                0.96126,                0.92848,                 0.9769,                0.89302,                0.35291,                0.26482,                0.85868,                 0.4331,                0.24604,                0.89524,                0.00703,                0.00703,                0.00703
                     33,                0.43084,                0.43208,                0.96073,                0.55501,                0.48475,                0.98917,                0.96005,                0.94898,                0.98264,                0.89965,                0.34907,                0.25152,                0.86139,                0.42273,                0.21727,                0.89403,               0.006931,               0.006931,               0.006931
                     34,                 0.4297,                0.41783,                0.95784,                0.55185,                 0.4517,                0.98746,                0.94045,                0.94609,                  0.976,                0.89833,                0.35165,                0.26095,                0.86116,                0.41563,                0.25234,                0.88647,               0.006832,               0.006832,               0.006832
                     35,                0.43782,                0.42191,                0.96075,                0.56294,                0.46756,                0.99088,                0.97192,                0.92913,                0.97982,                0.90335,                0.34544,                0.25846,                0.86199,                0.40062,                0.22953,                0.87947,               0.006733,               0.006733,               0.006733
                     36,                0.42042,                0.41192,                0.95275,                0.53696,                0.44577,                0.98042,                0.95275,                0.94203,                0.97647,                0.90051,                0.33654,                0.25395,                0.85113,                0.40155,                0.24333,                0.88276,               0.006634,               0.006634,               0.006634
                     37,                0.41579,                0.41093,                0.95115,                0.53145,                0.44695,                0.97975,                0.95532,                0.93578,                0.97781,                0.89962,                0.34039,                0.24641,                0.85377,                0.40425,                0.23295,                0.88053,               0.006535,               0.006535,               0.006535
                     38,                0.41502,                0.40435,                0.95413,                0.53473,                0.43765,                0.98468,                0.96169,                0.94037,                0.97845,                0.90419,                0.32885,                0.24247,                0.84605,                0.39469,                0.22236,                 0.8775,               0.006436,               0.006436,               0.006436
